Term [en-US],Description [en-US],Part of Speech [en-US],Term [zh-CN],Description [zh-CN],Part of Speech [zh-CN],Term [zh-TW],Description [zh-TW],Part of Speech [zh-TW]
Open downward,,,,,,,,
Concurrent lines,,,,,,,,
Absolute convergence,,,,,,,,
Conjugates complex number,,,,,,,,
Gas,#Physics,NOUN,,,,,,
Divergence,,,,,,,,
Coverge,,,,,,,,
Covergence,,,,,,,,
Cross Product,,,,,,,,
Vector Product,,,,,,,,
Distributive property,,,,,,,,
Acute Triangle,,,,,,,,
encode,,,,,,,,
membrane bound,,,,,,,,
membrane-bound,,,,,,,,
Keep going. Keep growing,,,,,,,,
My kind of cool,,,,,,,,
Supercharge your goals,,,,,,,,
Exponential growth,,,,,,,,
Hang gliding,,,,,,,,
Refer to the image below.,,,,,,,,
Urban planning,,,,,,,,
Social hierarchies intensified,,,,,,,,
Purusha,,,,,,,,
Rigveda,,,,,,,,
composite exponential function,,,,,,,,
mass,,,,,,,,
probability density,Maxwell-Boltzman Distribution,NOUN,,,,,,
root-mean-square,#Physics,,,,,,,
Attributions and References,,,,,,,,
pigment,,NOUN,,,,,,
NADPH,,PROPN,,,,,,
P680,,SYM,,,,,,
Qur'an,,,,,,,,
Sunni Muslims,,,,,,,,
terminal Side of an Angle,,,,,,,,
Internal angle,,,,,,,,
external angle,,,,,,,,
exterior angle,,,,,,,,
This is correct.,,,,,,,,
Inner Product space,,,,,,,,
Inner function,,,,,,,,
photosynthesis,,,,,,,,
early Muslim,,,,,,,,
[[☃ radio 1]],,,,,,,,
cupcake,,,,,,,,
linguistics,,,,,,,,
cellular respiration,,,,,,,,
Ribosome,,,,,,,,
Ribosome,,PROPN,,,,,,
Glucose,,NOUN,,,,,,
thylakoid,,NOUN,,,,,,
thylakoid membrane,,,,,,,,
Calvin cycle,,,,,,,,
light-dependent reactions,,,,,,,,
ATP,,,,,,,,
fixation of carbon dioxide,,,,,,,,
stroma,,,,,,,,
G3P,,,,,,,,
mitochondria,,NOUN,,,,,,
carbon dioxide,,,,,,,,
temperature,,,,,,,,
heat,,,,,,,,
Chlorophyll,,PROPN,,,,,,
NADP+,,,,,,,,
PSII,,PROPN,,,,,,
PSI,,PROPN,,,,,,
ADP,,NOUN,,,,,,
reaction center,,,,,,,,
electron transport chain,,,,,,,,
carbon fixation,,,,,,,,
threshold model,,,,,,,,
threshold value,,,,,,,,
Integration interval,,,,,,,,
Lower limit of integration,,,,,,,,
Upper limit of Integration,,,,,,,,
Nonlinear Programming,,,,,,,,
Nonlinear Regression,,,,,,,,
Nonlinear System of Equations,,,,,,,,
spinal cord,,,,,,,,
notochord,,,,,,,,
floor plate,,,,,,,,
interneurons,,,,,,,,
Shh,,,,,,,,
morphogens,,,,,,,,
Sonic hedgehog,,,,,,,,
vertebrates,,,,,,,,
Endocrine,,,,,,,,
endocrine gland,,,,,,,,
Gap junctions,,,,,,,,
plasmodesmata,,,,,,,,
DNA,,,,,,,,
signal transduction,,,,,,,,
Intracellular,,,,,,,,
RNA,,,,,,,,
mRNA,,,,,,,,
Translation,,,,,,,,
Ligand-gated ion channels,,,,,,,,
GPCR,,,,,,,,
enzyme-linked receptors,,,,,,,,
RTK,,,,,,,,
Receptor tyrosine kinase,,,,,,,,
PDGF,,,,,,,,
estradiol,,,,,,,,
testosterone,,,,,,,,
steroid hormone,,,,,,,,
MAPK,,,,,,,,
Raf,,,,,,,,
mitogen,,,,,,,,
endoplasmic reticulum,,,,,,,,
cAMP,,,,,,,,
denosine monophosphate,,,,,,,,
adenylyl cyclase,,,,,,,,
protein kinase A,,,,,,,,
inositol phosphates,,,,,,,,
phosphatidylinositol,,,,,,,,
DAG,,,,,,,,
inositol triphosphate,,,,,,,,
acetylcholine,,NOUN,,,,,,
Thermal energy,,,,,,,,
Gene expression,,,,,,,,
signal relay,,,,,,,,
c-Myc,,,,,,,,
MNK1,,,,,,,,
ERK kinase,,PROPN,,,,,,
Cellular metabolism,,,,,,,,
epinephrine,,,,,,,,
adrenal gland,,,,,,,,
glycogen phosphorylase,,,,,,,,
Glycogen,,PROPN,,,,,,
glycogen synthase,,,,,,,,
apoptosis,,VERB,,,,,,
Let,,,,,,,,
Quorum sensing,,,,,,,,
autoinducers,,,,,,,,
meiosis,,,,,,,,
differentiate,,,,,,,,
eukaryotes,,,,,,,,
Scratchpad,"A high-speed internal memory used for temporary storage of calculations, data, and other work in progress",NOUN,,,,,,
Uncommon,Badge type,ADJ,,,,,,
Rare,Badge type,ADJ,,,,,,
Epic,Badge type,ADJ,,,,,,
offline mode,,X,,,,,,
monthly gift,,,,,,,,
monthly gift,,,,,,,,
charge,,,,,,,,
one-time gift,,,,,,,,
recurring gift,,,,,,,,
one-time donation,"The same as ""one-time gift""",,,,,,,
learner,,,,,,,,
A friendly reminder,,,,,,,,
nonprofit,,,,,,,,
credit card,,,,,,,,
Privacy policy,,,,,,,,
gift,,,,,,,,
Piggy bank,,,,,,,,
annual report,,,,,,,,
Bitcoin,,,,,,,,
Bitcoin Cash,,,,,,,,
Litecoin,,,,,,,,
Ethereum,,,,,,,,
to donate,,,,,,,,
Amazon,,,,,,,,
Frequently asked questions,,,,,,,,
check,,,,,,,,
phone number,,,,,,,,
stock,the goods or merchandise kept on the premises of a shop or warehouse and available for sale or distribution,,,,,,,
wire transfer,,,,,,,,
Square Cash,,,,,,,,
employer matches,,,,,,,,
currency,,,,,,,,
cash,,,,,,,,
Learners Fund,https://crowdin.com/translate/khanacademy/34844/enus-uk,,,,,,,
donor,,,,,,,,
recurring donation,,NOUN,,,,,,
settings,,,,,,,,
non-profit,,,,,,,,
donation receipt,,,,,,,,
last name,,,,,,,,
Share,,,,,,,,
Matching Gifts,,,,,,,,
Periodic table of the elements,,,,,,,,
Error,,,,,,,,
physics,,,,,,,,
principle,,NOUN,,,,,,
motion,Physical term.,NOUN,,,,,,
NASA,abbreviation,,,,,,,
chemistry,,,,,,,,
composition,of transformations,,,,,,,
material,,,,,,,,
Cetuximab,,,,,,,,
Lapatinib,,,,,,,,
Sorafenib,,PROPN,,,,,,
Ras,,PROPN,,,,,,
pituitary,,NOUN,,,,,,
This is the slope of the line representing the relationship.,,,,,,,,
Course challenge,,,,,,,,
The two-way frequency table,,,,,,,,
Complete the following two-way table of column relative frequencies,,,,,,,,
"If necessary, round your answers to the nearest hundredth",,,,,,,,
Two-way table of column relative frequencies,,,,,,,,
Frequency table with column totals,,,,,,,,
Complete the following two-way table of row relative frequencies,,,,,,,,
Neighborhood of point,,,,,,,,
Regular Matrix,,,,,,,,
Let's plug these values into the equation to find the value of,,,,,,,,
"*constant* rate, the table describes a *linear* relationship.",,,,,,,,
"If we use one of the rows in the table as a point $(x_1,y_1)$, we can write the equation of this relationship in *point-slope form*:",,,,,,,,
is the ratio of those corresponding differences:,,,,,,,,
Unit mastery,,,,,,,,
units right,,,,,,,,
units up,,,,,,,,
units down,,,,,,,,
units left,,,,,,,,
$T$ represents the time (in seconds),,,,,,,,
represents the time (in seconds),,,,,,,,
The table compares,,,,,,,,
The table of values shows,,,,,,,,
The rate of change of the relationship is *negative*,,,,,,,,
When we solve this equation for,,,,,,,,
Now we can use the Pythagorean theorem to find the distance $\\greenD x$:,,,,,,,,
Phase,,,,,,,,
Polygon Interior angle,,,,,,,,
Interior angle,,,,,,,,
Elongated Spheroid,,,,,,,,
Flattened Spheroid,,,,,,,,
non-zero rational number,,,,,,,,
rational numbe,,,,,,,,
irrational number,,,,,,,,
Identifying the type of product,,,,,,,,
This can be expressed as:,,,,,,,,
"Now that we have a system of two equations, we can go ahead and solve it!",,,,,,,,
proportionality,,,,,,,,
course,,NOUN,,,,,,
Mastery point,,,,,,,,
Course challenges,,,,,,,,
We are also given that,,,,,,,,
Which one of the following statements is true?,,,,,,,,
substitution method,,,,,,,,
kinetic energy,,,,,,,,
RMSЕ,Root mean square error,,,,,,,
Root Mean Square Deviation,,,,,,,,
Root Mean Square Error,,,,,,,,
nucleotides,,NOUN,,,,,,
Chromatin,,PROPN,,,,,,
histones,,NOUN,,,,,,
karyotype,,,,,,,,
Revolutions Per Minute (RPM),,,,,,,,
Real Problems in Mathematics,,,,,,,,
centromere,,NOUN,,,,,,
Let's take a look at the system:,,,,,,,,
interphase,,NOUN,,,,,,
mitotic phase,,,,,,,,
mitotic phase,,,,,,,,
mitotic (M) phase,,,,,,,,
subscription fee,,,,,,,,
cytokinesis,,PROPN,,,,,,
prophase,,NOUN,,,,,,
metaphase,,NOUN,,,,,,
anaphase,,,,,,,,
telophase,,NOUN,,,,,,
diagonal,,,,,,,,
aggregate output,,,,,,,,
prometaphase,,NOUN,,,,,,
What is the best interpretation for the following statement?,,,,,,,,
Tile,,,,,,,,
"If we graph the transformation, we can see for ourselves which properties remained unchanged.",,,,,,,,
nucleoid,,NOUN,,,,,,
Uncountably Infinite set,,,,,,,,
Uncountable set,,,,,,,,
Countably Infinite set,,,,,,,,
Countable set,,,,,,,,
Hendecagon,,,,,,,,
Endecagon,,,,,,,,
Non-Uniform,,,,,,,,
Union of sets,,,,,,,,
Graff theory,,,,,,,,
Тurn,,,,,,,,
Functions are written using function notation,,,,,,,,
Match each amount in the situation with the expression that represents it,,,,,,,,
Which expressions can we use to describe,,,,,,,,
Cdks,,,,,,,,
MPF,,,,,,,,
APC/C,,,,,,,,
ubiquitin,,NOUN,,,,,,
proteasome,,PROPN,,,,,,
ladybugs,,,,,,,,
homologue,#Biology #Genetics,,,,,,,
metaphase plate,,,,,,,,
heterozygous,#Biology #Genetics,,,,,,,
word,,,,,,,,
Research approaches,,,,,,,,
Exploratory techniques,,,,,,,,
IRS,,,,,,,,
Worked example:,,,,,,,,
heterozygote,,,,,,,,
homozygous,,,,,,,,
hemizygous,,,,,,,,
mutation,,,,,,,,
What is the midline equation of the function,,,,,,,,
pure-breeding (,,,,,,,,
pure-breeding,,,,,,,,
papillomavirus,,,,,,,,
phosphatidylserine,,,,,,,,
Using the Pythagorean Theorem to solve for,,,,,,,,
The Pythagorean Theorem,,,,,,,,
{\\text{The Pythagorean Theorem}},,,,,,,,
{\\text{Plug in the side lengths}},,,,,,,,
{\\text{Take the square root of each side}},,,,,,,,
"Adding the equations to eliminate the $x$ terms, we get:",,,,,,,,
to detect,,,,,,,,
detect,,,,,,,,
stoichiometry,,,,,,,,
turns out,,,,,,,,
deflect,,,,,,,,
homologous pair,,,,,,,,
gamete,,,,,,,,
nondisjunction,,,,,,,,
aneuploidy,,,,,,,,
X-inactivation,,,,,,,,
monosomies,,,,,,,,
aneuploid,,,,,,,,
Addition Rule for probability,,,,,,,,
Addition Rule for Probdbility,,,,,,,,
Absolute Complement,,,,,,,,
Accumulation function,,,,,,,,
Accumulation,,,,,,,,
Accumulation of change,,,,,,,,
Accumulation of quantity,,,,,,,,
Acute triangle,,,,,,,,
Addend,,,,,,,,
2-step equations,,,,,,,,
3D shapes,,,,,,,,
a number in standard form,,,,,,,,
a reflection over,,,,,,,,
a rotation by 90 degree,,,,,,,,
Alternate angles,,,,,,,,
Adjoint function,,,,,,,,
Adjoint operator,,,,,,,,
Use exact numbers.,,,,,,,,
Adjacent Suplementary Angles,,,,,,,,
Adjacent Complementary Angles,,,,,,,,
Adjacent Intervals,,,,,,,,
Adjacent Face,,,,,,,,
inscribed angle,,,,,,,,
inscribed triangle,,,,,,,,
Adjugate,,,,,,,,
Advanced Derivatives,,,,,,,,
Advanced Placement (AP),,,,,,,,
Algebraic properties,,,,,,,,
Alternative hypothesis,,,,,,,,
Alternate interior angles,,,,,,,,
Alternate exterior angles,,,,,,,,
gastroenteritis,,,,,,,,
angle of rotation,,,,,,,,
Annual interest,,,,,,,,
AP Test,,,,,,,,
Approximation,,,,,,,,
Area of a circle,,,,,,,,
Arithmetic average,,,,,,,,
Back to Back,,,,,,,,
Bar graph,,,,,,,,
Basis,,,,,,,,
Bias,,,,,,,,
Biased estimator,,,,,,,,
Bounded Limit,,,,,,,,
Brigg's log (logarithm),,,,,,,,
Cartesian coordinate system,,,,,,,,
Categorical data,,,,,,,,
substrate,,NOUN,,,,,,
Central Limit Theorem,,,,,,,,
Central tendencies,,,,,,,,
Circumference of circle,,,,,,,,
Circumscribed Triangle or Polygon,,,,,,,,
Bar graph,,,,,,,,
Clluster,,,,,,,,
Codomain - im(T),,,,,,,,
Coefficient of correlation (R),,,,,,,,
Coefficient of determination (R-squared),,,,,,,,
Coincident system,,,,,,,,
Column vector,,,,,,,,
Common Log,,,,,,,,
manipulate,,,,,,,,
Han China,,,,,,,,
Pre-algebra,,,,,,,,
Probability and statistics,,,,,,,,
Precalculus,,,,,,,,
statistics,,,,,,,,
Contest:,,,,,,,,
Math,,,,,,,,
Inner product,,,,,,,,
Common log,,,,,,,,
Component form,,,,,,,,
Component limit,,,,,,,,
Composite function,,,,,,,,
Composite shape,,,,,,,,
Conditions for inference,,,,,,,,
Confidence interval,,,,,,,,
Confidence level,,,,,,,,
Congruent angles,,,,,,,,
Congruent triangles,,,,,,,,
Congruent sides,,,,,,,,
Conjugates complex numbers,,,,,,,,
Connecting limits,,,,,,,,
Consecutive numbers,,,,,,,,
Conservative field,,,,,,,,
Constant of proportionality,,,,,,,,
Constrained optimization,,,,,,,,
Constraint,,,,,,,,
Constraint curve,,,,,,,,
Continuity,,,,,,,,
Continuous random variable,,,,,,,,
Convergence,,,,,,,,
Converse of a statement,,,,,,,,
Convex polygon,,,,,,,,
co-prime (numbers),,,,,,,,
Convolution,,,,,,,,
Correspondence,,,,,,,,
Cross product,,,,,,,,
Cross section,,,,,,,,
Cubе,,,,,,,,
Cube,,,,,,,,
Cubic Root,,,,,,,,
Cumulative relative frequency,,,,,,,,
Curl,,,,,,,,
Curvature,,,,,,,,
Cut,,,,,,,,
Finite Difference,,,,,,,,
Cylindеr,,,,,,,,
Decimal fraction,,,,,,,,
Decimal point,,,,,,,,
Difference of sets,,,,,,,,
Degree of freedom,,,,,,,,
Denary log,,,,,,,,
Density curve,,,,,,,,
Dependent Rdndom Variable,,,,,,,,
Derivative Power Rules,,,,,,,,
Derivative Properties,,,,,,,,
Differential calculus,,,,,,,,
Differentiation rules,,,,,,,,
Differentiation using multiple rules,,,,,,,,
Dilation center,,,,,,,,
Center of Dilation,,,,,,,,
Directional derivative,,,,,,,,
Disguised derivative,,,,,,,,
Discrete distribution,,,,,,,,
monohybrid cross,,,,,,,,
homozygote,,,,,,,,
df,degree of freedom,,,,,,,
Cycloide,,,,,,,,
Discrete random variable,,,,,,,,
Disc Method,,,,,,,,
equal-probability,,,,,,,,
frequency,,,,,,,,
genome,,,,,,,,
Divide by,,,,,,,,
crossing over,,,,,,,,
meiosis I,,,,,,,,
Divident,,,,,,,,
Ddivisibility,,,,,,,,
Divisible by,,,,,,,,
genetic linkage,,,,,,,,
Double inequalities,,,,,,,,
Edge,,,,,,,,
Eigenvalue,,,,,,,,
Eigenvector,,,,,,,,
Empirical distribution,,,,,,,,
Epsilon-delta definition of limits,,,,,,,,
Equal variance,,,,,,,,
Equilateral Triangle,,,,,,,,
Explicit Formula,,,,,,,,
Exponent of the term,,,,,,,,
Exscribed circle,,,,,,,,
Excircle,,,,,,,,
Exterior angle,,,,,,,,
Exterior bisector,,,,,,,,
Enter an exact answer,,,,,,,,
Extremal Value Theorem,,,,,,,,
extremes members of a proportion a:b=c:d,,,,,,,,
Extremum points,,,,,,,,
zygotes,,,,,,,,
proper fraction,,,,,,,,
bar charts,,,,,,,,
representational sample,,,,,,,,
Histograms,,,,,,,,
Box and whisker plots,,,,,,,,
recursive formula,,,,,,,,
government spending,,,,,,,,
unfair coin,,,,,,,,
unfair dice,,,,,,,,
Clusters analysis,,,,,,,,
proportional,,,,,,,,
savings account,,,,,,,,
inflection point,,,,,,,,
point of inflection,,,,,,,,
flex,,,,,,,,
significant digits,,,,,,,,
Scatter plot,,,,,,,,
significance tests,,,,,,,,
Individual event,,,,,,,,
full angle,,,,,,,,
absolute frequency,,,,,,,,
Pleiotropy,,,,,,,,
Complementary genes,,,,,,,,
Epistasis,,,,,,,,
Polygenic,,,,,,,,
incomplete penetrance,,,,,,,,
variable expressivity,,,,,,,,
snapdragon,,,,,,,,
diploid,,,,,,,,
chinchilla,,,,,,,,
lethality,,,,,,,,
pleiotropic,,,,,,,,
lethal alleles,,,,,,,,
interquartile,,,,,,,,
quartiles,,,,,,,,
cryptography,,,,,,,,
achondroplasia,,,,,,,,
implantation,,,,,,,,
This article is a modified derivative of,,,,,,,,
The modified article is licensed under a,,,,,,,,
variation,,,,,,,,
markup language,,,,,,,,
stylesheet language,,,,,,,,
Image modified from,,,,,,,,
Debug,,,,,,,,
gene variants,,,,,,,,
store,,,,,,,,
query,,,,,,,,
Polygenic inheritance,,,,,,,,
JS,,,,,,,,
Visualizations,,,,,,,,
"In order to find the slope, we need another point on the line whose coordinates are clearly visible.",,,,,,,,
"By looking at the graph, we can see that the $y$-intercept is",,,,,,,,
"By looking at the graph, we can see that",,,,,,,,
"In order to find the slope, we need another point on the line whose coordinates are clearly visible.",,,,,,,,
uniform distribution,,,,,,,,
Determine the intercepts of the line.,,,,,,,,
Internet Explorer,,,,,,,,
Mozilla Firefox,,,,,,,,
Microsoft Edge,,,,,,,,
Google Chrome,,,,,,,,
Online Courses,,,,,,,,
Donate,Donate,VERB,,,,,,
adjacent vertex,,,,,,,,
expressivity,,,,,,,,
Partners,,,,,,,,
Programs,,,,,,,,
Missions,,,,,,,,
Birthdate,,,,,,,,
Log in,,,,,,,,
Profile,,NOUN,,,,,,
Log out,,,,,,,,
upgrading,,,,,,,,
Narrow expressivity,,,,,,,,
Law of large numbers,,,,,,,,
Sign up,,,,,,,,
Individuals,,,,,,,,
Knowledge Map,,,,,,,,
Complete penetrance,,,,,,,,
3d,,,,,,,,
This article is licensed under a,,,,,,,,
New program,,,,,,,,
Barr body,,,,,,,,
community programs area,,,,,,,,
color picker,,,,,,,,
Art history,,,,,,,,
Careers,,,,,,,,
special triangles,,,,,,,,
trapezoidal rule,,,,,,,,
trapezoid rule,,,,,,,,
trapezium rule,,,,,,,,
marked up,,,,,,,,
inline,,,,,,,,
variability in the distribution,,,,,,,,
web,,,,,,,,
Challenge,,,,,,,,
chimeric,,,,,,,,
Calico cat,,,,,,,,
tax revenues,,,,,,,,
rehearsals,,,,,,,,
recombination,,,,,,,,
configuration,,,,,,,,
vestigial,,,,,,,,
Recombination frequency,,,,,,,,
recombination frequency,,,,,,,,
Partial fraction expansion,,,,,,,,
Partial fraction decomposition,,,,,,,,
marginal distribution,,,,,,,,
Blinded experiment,,,,,,,,
Double-blind experiment,,,,,,,,
key feature,,,,,,,,
mastery knowledge,Відсилка на Mastery System KA (порівнева система визначення вашого прогресу),,,,,,,
ancestor veneration,,,,,,,,
muscular dystrophy,,,,,,,,
germline,,,,,,,,
unit of labor,,,,,,,,
colinear map,,,,,,,,
euploid,,,,,,,,
quotien,,,,,,,,
Trisomy,,,,,,,,
euploidy,,,,,,,,
polyploid,,,,,,,,
chromatid,,,,,,,,
sister chromatids,,,,,,,,
mitosis,,,,,,,,
homologous,,,,,,,,
meiosis II,,,,,,,,
mitotic non-disjunction,,,,,,,,
Chromosomal rearrangements,,,,,,,,
duplication,,,,,,,,
deletion,#Biology #Heredity,,,,,,,
inversion,#Biology #Heredity,,,,,,,
translocation,#Biology #Heredity,,,,,,,
reciprocal translocation,,,,,,,,
precursors,,,,,,,,
primary oocytes,,,,,,,,
ovulate,,,,,,,,
prophase I,,,,,,,,
chloroplast,,,,,,,,
bacterium,,,,,,,,
eukaryotic cell,,,,,,,,
cytosol,,,,,,,,
nucleus,,,,,,,,
prokaryotic,,,,,,,,
High copy number,,,,,,,,
mitochondrion,,,,,,,,
organelle,,,,,,,,
homogeneous,,,,,,,,
cleavage furrow,,,,,,,,
chloroplasts,,,,,,,,
germ cells,,,,,,,,
Mitochondrial inheritance,,,,,,,,
cytoplasm,,,,,,,,
Mitochondrial DNA,,,,,,,,
polymer,,,,,,,,
pneumonia,,,,,,,,
strain,,,,,,,,
petri dish,,,,,,,,
virulent,,,,,,,,
nonvirulent,,,,,,,,
nonpathogenic,,,,,,,,
transforming principle,,,,,,,,
Eigenspace,,,,,,,,
Properties of Equality,,,,,,,,
Even number,,,,,,,,
Existence theorems,,,,,,,,
Explicit formula,,,,,,,,
Expand,,,,,,,,
Face,,,,,,,,
Finding a root,,,,,,,,
Finite decimal,,,,,,,,
Flux,,,,,,,,
Flux surface integral,,,,,,,,
Fraction Bar,,,,,,,,
Frequency table,,,,,,,,
Fundamental theorem of calculus,,,,,,,,
Fundamental theorem of line integrals (fundamental theorem of calculus to line integrals ),,,,,,,,
Gap (in the data),,,,,,,,
Gradient,,,,,,,,
bacteriophage,,,,,,,,
supernatant,,,,,,,,
identity property for addition,,,,,,,,
identity property for multiplication,,,,,,,,
identity property for zero,,,,,,,,
identity property for one,,,,,,,,
What number is next,,,,,,,,
asymmetry,,,,,,,,
Kurtosis,,,,,,,,
Excess,,,,,,,,
flagella,,,,,,,,
plasmids,,,,,,,,
Gamete fusion,,,,,,,,
Binary fission,,,,,,,,
Conjugation,,,,,,,,
historical continuities,,,,,,,,
deoxyribose,,,,,,,,
phosphodiester bond,,,,,,,,
sugar-phosphate backbone,,,,,,,,
covalent bonds,,,,,,,,
nitrogenous bases,,,,,,,,
hydrogen-bonded pairs,,,,,,,,
antiparallel,,,,,,,,
purines,,,,,,,,
pyrimidines,,,,,,,,
hydroxyl group,,,,,,,,
nitrogenous base,,,,,,,,
diffraction pattern,,,,,,,,
right-handed helix,,,,,,,,
replication,,,,,,,,
skewness,,,,,,,,
E. coli,,,,,,,,
double helix,,,,,,,,
synthesis,,,,,,,,
polymerase,,,,,,,,
leading strand,,,,,,,,
lagging strand,,,,,,,,
DNA primase,,,,,,,,
DNA helicase,,,,,,,,
DNA ligase,,,,,,,,
topoisomerase,,,,,,,,
helicase,,,,,,,,
ligase,,,,,,,,
semiconservative,,,,,,,,
emphasized,,,,,,,,
Schematic,,,,,,,,
primer,,,,,,,,
polymerization reaction,,,,,,,,
consistent system of linear equation,,,,,,,,
inconsistent system of linear equation,,,,,,,,
pyrophosphate,,,,,,,,
replication forks,,,,,,,,
replication bubble,,,,,,,,
single-strand binding proteins,,,,,,,,
primase,,,,,,,,
#NAME?,,,,,,,,
"The other new strand, which runs 5' to 3' away from the fork, is trickier.",,,,,,,,
Okazaki fragments,,,,,,,,
sliding clamp,,,,,,,,
smooth function,,,,,,,,
replication fork,,,,,,,,
linear chromosomes,,,,,,,,
Hour of Drawing with Code,,,,,,,,
Hour of Databases,,,,,,,,
Hour of Webpages,,,,,,,,
semi-conservative,,,,,,,,
conservative,,,,,,,,
dispersive,,,,,,,,
Drag the dot all the way to the right.,,,,,,,,
Notice that we add a zero to the empty place value.,,,,,,,,
Dispersive,,,,,,,,
density gradient centrifugation,,,,,,,,
cesium chloride,,,,,,,,
CsCl,,,,,,,,
ten,,NOUN,,,,,,
proofreading,,,,,,,,
mismatch repair,,,,,,,,
methylation state,,,,,,,,
Direct reversal,,,,,,,,
docs,,,,,,,,
continued fraction,,,,,,,,
Bimodal distribution,,,,,,,,
excision repair,,,,,,,,
double-stranded break repair,,,,,,,,
Class mark,,,,,,,,
thymine dimer,,,,,,,,
Consecutive Even Numbers,,,,,,,,
determined system of linear equation,,,,,,,,
Undetermined system of linear equation,,,,,,,,
Student,,NOUN,,,,,,
exercises,,NOUN,,,,,,
non-homologous end joining,,,,,,,,
homologous recombination,,,,,,,,
Constructing Triangles,,,,,,,,
double-stranded breakا,,,,,,,,
acorns,,,,,,,,
squirrels,,,,,,,,
box,,NOUN,,,,,,
Design of experiments,,,,,,,,
database,,,,,,,,
apples,,NOUN,,,,,,
cheese wedges,,NOUN,,,,,,
triangles,,NOUN,,,,,,
circles,,NOUN,,,,,,
geometry,,NOUN,,,,,,
mice,,NOUN,,,,,,
mouse,,NOUN,,,,,,
flowers,,NOUN,,,,,,
more than,,,,,,,,
to count,,VERB,,,,,,
to learn,,VERB,,,,,,
from,,X,,,,,,
to,,X,,,,,,
numbers,,NOUN,,,,,,
ice cream cones,,NOUN,,,,,,
The end-replication problem,,,,,,,,
